,text,target
158,no phantasy star yesterday going to work,0
159,oh just got all my macheist apps sweet didn t get the espresso serial no though although they said they sent it oh well,0
160,picked mich st to win it all from the get go was feeling pretty good about that pick all the way up until tonight a s lost too,0
161,is alone downstairs working,0
162,i feel bad for doing it,0
163,is it just me or she hates anoop i mean seriously she s kinda mean to him,0
164,yes sprint has g only in baltimore and chicago so far,0
165,i m stuck awake in the middle of the night for the second day in a row and i felt terrible yesterday,0
166,thanks for bursting my bubble,0
167,going to school soon can t find anything to wear gosh it s so hard,0
168,i was serious lol,0
169,i had on my page for sooooo long until it got deleted sad day in history,0
170,crazy wind today no birding,0
171,currently at work,0
172,grrr my ipods acting weird too jai ho and thinking of you aren t playing the full songs ughh,0
173,send me the dvd cos i have missed out on heaps not happy about that,0
174,i don t see the big deal with this website,0
175,i m so sorry you re having to go through this again therapyfail,0
176,far too out of the way for rail any other tips,0
177,i m not still up i swear why do i keep losing gaining losing gaining tweeps so heart wrenching,0
178,today i realized i am too good at hiding things even i can t find it,0
179,staying at a friends house house sitting neighbors are so loud having a party,0
180,danny im upset that i wasnt here to watch the live chat i was in a car for hours on a trip im soooo upset,0
181,check out my mug obscura blogspot com,0
182,borders closed at,0
183,downloading nin s new album the slip when the hell did this come out i m so behind the times these days,0
184,just woke up an already have written some e mail i ve to go early at university today as i have to teach at am,0
185,is watching the hill and its making me sad,0
186,so many channels yet so so boring lazy day again may have to find a hobby,0
187,i miss my buddy ill be in ny on the th,0
188,love the french i tell people here in the south i m qtr french and they snarl at me french are beautiful people,0
189,opps as i said i still got one day remain and now problem come,0
190,i activated my selfcontrol block early meaning i can t check out the new qc regularizing my internal clock is might be difficult fb,0
191,oh no,0
192,spencer is not a good guy,0
193,what about reese dying on ttsc and season finale next week boring madame president is a crazy woman,0
194,i hate the limited letters too hope you and the guys are fine i pray for my dog she s not well,0
195,didn t get shit done today i m so screwed,0
196,wanttss to go out,0
197,is not going to sleep tonite,0
198,too worried and tired to post tonight,0
199,couldn t get shit done today i m so screwed,0
200,job interview in cardiff today wish me luck got about hours sleep,0
201,your show is whack way worse than whack it s wiggety whack,0
202,i really don t think people choose to be that way but i think he chose not to accept my family s help he might be dead by now,0
203,you re going to kill me but i ve not seen ds i ve been waiting till i can do it in one solid week sitting,0
204,i think ur right hahaha hrs now,0
205,i hate to see the spartans so sad,0
206,my mind and body are severely protesting this getting up thing had nightmares to boot,0
207,i m goin to follow u since u didn t lol go angels,0
208,,0
209,i think i want to read some books but the library doesn t have them,0
210,my nap was interrupted so many times today going out for japanese with the rents again,0
211,kind of longs for the bus that shows up at the end of ghost world right now ugh,0
212,but this is canada canada is weird we re supposed to get snow through wednesday ugh,0
213,awwh babs you look so sad underneith that shop entrance of yesterday s musik o i like the look of the new transformer movie,0
214,sad that the feet of my macbook just fell off,0
215,i m gonna get up late tomorrow and it s am here i gonna get tipsy by my lonesome that s that s just sad,0
216,i m sweating my forthcoming trip to e if i can t find someone to crash with while i m out there i may be screwed,0
217,has now gotten somebody to read his tweets but cant get them to make an account,0
218,omgawd i couldnt handle my cat being in heat all the time d d,0
219,i hope i can make it to the auburn show but its not looking good for me,0
220,henrie thats people mag haha i couldnt fit it all in i dont think those pictures ever made it in the magazine tho haha,0
221,congrats i totally forgot to submit photos,0
222,awww good luck paula please don t work too hard but i hope you have fun your new album is gonna be amazing xxx,0
223,now your leaving me gets sad,0
224,i miss you twitter my phone broke now i m using a stupid nokia phone ughhh i miss my advance phone,0
225,shooting outside my house o not kidding so scared,0
226,tuesday ll start with reflection n then a lecture in stress reducing techniques that sure might become very useful for us accompaniers,0
227,what tragedy and disaster in the news this week,0
228,yes yes still trying to find a picture that will upload correclty,0
229,why oh why was the red sox game rained out i was so looking forward to opening day,0
230,i still can t find my keys,0
231,i know right i dunno what is going on with twitter,0
232,might be getting a sore throat again,0
233,my home town my mammy called all depressd pls explain y a parent let their yr old child walk alone hello its,0
234,i think i need to find better anti depressants i think this paxil wellbutrin combo is losing its efficacy,0
235,restaurant called woodntap has competitive eating tourney round tourney time we place nd,0
236,is in the bathroom wake up lakin,0
237,i want tacos and margarhitas telll gay i say hello,0
238,im lonely keep me company female california,0
239,bad day at the betfair office,0
240,i miss him can t wait to celebrate the tar heel win this weekend though,0
241,i m really cold i don t want to go to sleep yet but there s nothing to do,0
242,is this it u its officially over me this go round,0
243,monkeys i just found out you my twin and you wont even write back i m heartbroken,0
244,om aww i know i felt like that yesterday at work,0
245,treaty isn t defined,0
246,missed brent at praise band no fun to not have the your lead guitarist pout,0
247,poor john this is what happens when you play with fruit and a microwave seriously though have you seen a doctor xxx,0
248,missing my bff watching home and away it reminds me of her and me we it shout out to u courts,0
249,,0
250,new video card is doa,0
251,feeling lost naked and confused jk sort of no iphone for me,0
252,damn i am so late at filling this appraisal form people have almost sent it i was so occupied in work,0
253,missed brent at praise band no fun to not have your lead guitarist pout,0
254,i think to much on the past i cant change it i deserved so much more then wat i got but why am i still thinking about him gah,0
255,has lost his ring it s no where to be seen,0
256,ooooooh sealclap see i download shitloads of zip folders off chan i have no internet moneys fuck yeah alicia mikey,0
257,is still nursing my nile but glad he is feeling better i hate when my baby is sick,0
258,is fucked to go back to ic,0
259,yoyoyo my internet has been rude tonight it just reconnected and i m about to go to bed,0
260,well i have uni stuff and netball but after netbal if i ve done uni stuff we can,0
261,me too i is poor,0
262,help me forget th april th july,0
263,dierks bentley is comin to columbus oh i wanna go so bad,0
264,i have to take my sidekick back,0
265,congrats i m totally jealous only wish my xm was working,0
266,gr t my face is very itchy,0
267,poor socks luvvvvv the golden retriever i want one sighhhh,0
268,i just saw that they found that tracy girl in a piece of luggage how fucking terrible,0
269,aaaaand the nausea is back,0
270,ooh i m excited and not even going be there long love youtube,0
271,spent hour to reach to axis bank only to find out today is holiday for mahavir jayanti contd,0
272,i agree the jobros dont update theres very often,0
273,it is hilarious and i linked the clip from lj some time ago but when i went back just now it was a dead link,0
274,oooooooo who with im not neither but thats because i need to study,0
275,haven t tweeted nearly all day posted my website tonight hopefully that goes well night time,0
276,i miss bentley,0
277,seriously needs to finish these job applications,0
278,my son vincas is sick so i stay at home just three tense days at work and i am back on holiday with kids,0
279,whinging my client boss don t understand english well rewrote some text unreadable it s written by v good writer reviewed correctly,0
280,i don t want him to ever punch me,0
281,sooo sick of the snow ughh,0
282,nemesis,0
283,it doesn t work your fan is upset,0
284,i would like to apologize for the repeated video games live related tweets i am going to have a stern discussion with koodo soon stern,0
285,but i cant figure out how to get there back pay for a hotel etc,0
286,fml so much for seniority bc of technological ineptness i now have to register for classes again,0
287,feels like she slept the day away not looking forward to any more bouts with my gallbladder at least i have pills now for the pain,0
288,but what i really want is my old bass back,0
289,mad tired today callin it in early tonight nighty night twittas,0
290,take it easy and be good to you,0
291,i m afraid i had bad code,0
292,think i m going to bed goodniight i hate this,0
293,i m here friend and i love you,0
294,all this time you didn t notice i was gone just needed db is it,0
295,is in the bathroom and i have to pee,0
296,but i wanted a margarita too,0
297,yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night its tough,0
298,just called hillsong again they said they couldn t tell me where i was on the waiting list i don t know if it s looking so good,0
299,has g of milky bar left and around ml of coke,0
300,it stillllll hasn t arrived,0
301,mraow i feel like dancing but first art school wants to rape me some more,0
302,ah i bet it does i ve been like craving to play softball or basketball but i have noo time,0
303,is terrified she accidentally deleted a reference in her management assignment and hopes she doesnt get in trouble when she gets back,0
304,amazon s plugin not worked in my website it need php but my hosting provider has only php very sad,0
305,argh i was suuuper sleepy an hour ago now i m wide awake hope i don t stay up all night,0
306,i wish i was sold out if you have some time let me know i would love to hear more about what you are up to,0
307,just watched tropic thunder dreading tomorrow,0
308,no he s still miss n,0
309,chiefdelphi is down,0
310,according to my bro our new puppy had a poo fight and was covered in poop picture stolen from him,0
311,playing game at home my new boss didn t call me yet,0
312,su yin huen tweeted i feel unbearable guilt i made my staff cry,0
313,poor joshy is sick those damn tejanos,0
314,my thoughts are with sandra cantu s family at this difficult and sad time,0
315,i know just wanted to let everybody know what was happening,0
316,michigan who i don t know them sigh shameful,0
317,i have to fill two hours,0
318,so cuuute hey i miss you na its not the same not seeing you girls everyday,0
319,oh did i mention it gooooood moooorniiiiiiing from germany im back in my cage or better my office,0
320,throat is closing up and i had some string cheese not a good idea,0
321,aww sandra cantu is found dead in a suitcase missing children stories never seem to go good poor family,0
322,wishing i was home underneath my covers,0
323,walking home from school drains all my energy,0
324,i agree the shapeshifting is a copout i was so excited for angela s ep i thought it was this week noah was awesome tho,0
325,dang i would have done this if i knew it was there earlier any other outings planned,0
326,i wish i was better at writing it s taking me so long to write this paper,0
327,and of course i have access to my halo mythic map pack re download but bad news not the legendary map pack ugh ms,0
328,not yet unfortunately another few weeks i ve been told how are you i ve been a little bit busy with my latest project,0
329,ha the sun s already gone,0
330,day a lot harder than day let s see how day goes tomorrow,0
331,my man crush jake peavy let me down gayforpeavy,0
332,megafast trip you have time during day tom weds or you going out tonight want to see you bad tried to warn you tech fail,0
333,michigan state you make me sad,0
334,omg my mouth is in so much pain i just wanna sleep untill its time to take my braces off,0
335,getting annoyed easily today biofuel proposal getting annoyed easily today biof,0
336,hey girl the site is back girlyvue is back and they have even more videos,0
337,i m spending time with my grandma early tomorrow and i can t leave skittles by herself,0
338,just got home from watching michigan state get tromped,0
339,oh jew bus two years worth of classes work is alot to organize i m not finishing tonight it s not possible my bones ache,0
340,no exchanging for me my laptop hasn t arrived,0
341,i hope this doesn t last too long i feel miserable,0
342,rachel hang outage is neccessary i was gonna be home this wekend but dumb folk make me work so im free f and sat until,0
343,not fun furious the new mantra for the bay breakers it was getting rambunctious the city overreacted clamped down,0
344,benson my hubby for some reason thinks it s more important he has a good spot for red carpet for the trek movie premiere sod,0
345,i swear no matter how long i ve been getting up at am it never gets any easier man my eyes hurts wah,0
346,star jeffree how do you keep your hair one color my permanent dye fades within the week,0
347,my reaction too whoa didn t see that coming,0
348,still sick feeling a bit better got some new medicine hope i feel good after a night of sleep ohh and it s suppose to snow wtf,0
349,i think maybe you should get a couple more hours of sleep hon how productive can you be right now if ur dog tired i worry,0
350,thanks a lot learned a lot of new words but didn t find what i was looking for,0
351,wish i had all the xblm downloads all on the gamertag hitokyri this gamertag thing is nonsense and i m tired of it,0
352,new testament test at am,0
353,tons no hay troll ahhhh,0
354,stupid movies we watched mirrors ugggggh stooopeeed rip off,0
355,i love you buck,0
356,last one but still not done,0
357,homework,0
358,i don t understand why things get taken away i didn t have enough time with him its unfair i want him back he was like my baby,0
359,scratch that du in heif two in a half cookies my tum just can t take anymore shoog poots,0
360,i was just listening to the sweets for the first time in forever i miss them so much can we go to chi town for visits plz,0
361,geez what a busy afternoon meetings emails meetings and email and more meetings pm and the day is still going ah its dark and,0
362,dang another spring break how cool is that too bad i have to work all week oh well more money for a phone ttyl everbody,0
363,kate im afraid too ur reply about uni from ages ago,0
364,feeling down,0
365,lol they are some emotional ass men omg all this late night eating both of us are broke,0
366,carter aww nick i like your hair longer why did you cut it off break my heart,0
367,wonder if jon lost the net,0
368,wow the most depressing thing in the world is losing a video that you ve created in a matter of seconds fml,0
369,tid but all says not in stock,0
370,lmao im sorry poohpot i ate it all,0
371,any chance softbelly for isn t loud,0
372,time to move my posterior and lose some fat my articulation are creaking so no more running but i m drool for some swimming,0
373,listening to nathan cry,0
374,today sucked i m gonna die without chris and callum wahhh,0
375,stou site not update no info about exam and open course i must wait for mail notices and doc um,0
376,i m sorry i m feeling kinda yucky myself am is going to come too quick,0
377,is in love with scrappy and is missin him already,0
378,wants to hear s song but myspace is messing with me,0
379,bad news was dad has cancer and is dying good news new business started and i am now a life coach practising holistic weight management,0
380,rebecca man intervention is soo sad,0
381,help i need a new boyfriend i m stuck in a rut,0
382,i feel like a complete idiot i m the only one who doesn t get how this shit works help me,0
383,saw an ad on craigslist for a casting call for a female host on g i was totally psyched but realized it was a hoax,0
384,pepperoni rolls in l a i called valentino s they said that they had sausage rolls but no pepperoni rolls,0
385,yes it will be it s only monday,0
386,i want the new gg episode already,0
387,i miss watching rocko s modern life,0
388,rip sandra its so sad how can someone do something like that,0
389,keeping my fingers crossed for my buddy he is not feeling well,0
390,wait should i eat or be skinny for vegas i m hungry,0
391,inovera i tried tweetdeck once and i hated it with a passion or it hated me i m not sure,0
392,btw my iphone is acting funny dying quickly and freezing and bs i m not admitting anything just sayin,0
393,sitting here wondering why ed still has such a strong hold on me,0
394,im sorry i got you sick lol going to bed too night,0
395,no internet at home have to drive into ox to use internet because of builders,0
396,buscemi the weather in canada is freezing,0
397,twiggassssssss i been out of range all day i m back now and hopefully for good,0
398,,0
399,anyone who reads this pray for my grandma she s in pain,0
400,woke up and was having an accident it s pushing it s pushing he was crying because he couldn t stop from wetting his pants,0
401,home from franklin street i almost jumped over a fire someone kicked it before i could jenny lost her shoe,0
402,hey you just changed your default,0
403,finally gave in and was bored enough to start this thing i think the is going to be a problem for me tho its like a myspace status,0
404,if oooonly we were really so lucky eh and awh definitely too early for work,0
405,buttload of homework,0
406,needs another copy of visual studio,0
407,why to we the only school in the world be in this week my school is silly anyway look on the bright side when i m off u will be in,0
408,omg i ve an economics test and i dont know all the things i have to know and omg im gonna fail,0
409,once upon a time hundred islands was the pride of philippine tourism but coral clam rare fish poaching did it in kinda sad,0
410,yeah apparently i have really bad taste,0
411,i know i was really surprised since everyone recommends them on youtube i have to call them tomorrow and figure it all out,0
412,waiting at the airport for my ride while i get harassed by men trying to sell me ugly hats why me i just want to sleep,0
413,i left my ids at the location and now i can not go out to bars fuckkkkkkkkkkkkk,0
414,i m sorry i don t understand your last comment,0
415,when is the announcement i stayed up late last night,0
416,this is strange illegal torrents avlbl everywhere legal dvd not in stock what do i do now,0
417,its not enough to say that imiss u,0
418,this trolley has up packed in like sardines padre game and they remove a car good call mts,0
419,jeez i was just trying to help haha,0
420,that happened to me saturday night along with my glittery green lighter,0
421,trying to reduce the number of cigarettes in each day,0
422,yea it is so quiet around here cuz everyone has to work im bored to death with nobody to talk to,0
423,gotta do my cooking assignment its too hard,0
424,okay about the applepears i ve talked to a few people and they ve all had them before no one ever told me never,0
425,i know i m a night owl by nature hahaha am i a time zone behind you it s almost here,0
426,lol nope but i did have complete camerafail,0
427,but i m useless if i don t sleep it s not fair i want all the fun as well,0
428,my pookie has a uti i have to be nurse gabbie and get him back to no more sodas,0
429,tweet something damn it and hang out with me please,0
430,,0
431,i m so behind in video games and everything for that matter i m yesterday s news,0
432,til noon i did it was the only one left but i got tempted and ate it soon as i got home i had a chocolate velvet ate d mocha,0
433,is stressing out because my blackberry keeps flashing a red alert status for no reason its faking me out and i hate it,0
434,i wanna wear my doc martens out haven t worn them since december,0
435,when to the shoe repair shop and the guy could not find my shoes so i have to go back and see if he can find them in a couple days,0
436,barnett i did not really see that coming,0
437,just woke up from the most vivid sketchy not cool dreams of my life time to stare at the wall with the lights on,0
438,it ll take days for my sister to get her passport,0
439,oh my yes i miss,0
440,uh oh i think i am getting sick,0
441,good god they ruined my belly button,0
442,watching who framed roger rabbit makes me miss toon town,0
443,renting but very cheap renting and awesome house we had buying attempts fall through,0
444,running nose spinning head not a good combination for a meeting,0
445,negative you lost my vote of confidence,0
446,nasty budget due and my iphone is being sent to apple today,0
447,noel that s bad,0
448,dammit episode of kings won t play for some reason stopped in the middle now won t do anything,0
449,i m so upset that i missed my chat and quiz online because my free internet has ceased,0
450,can t believe it i m in disbelief of it all in a way really how much can i take from people and always get hurt by others,0
451,car show season has started without me,0
452,my throat is raw,0
453,i just don t get it what in a persons mind could even have them on some ish like this my prayers are with her fam for real,0
454,i hate you i didn t need to see that i need to call my therapist now,0
455,twilight didn t come yesterday fingers crossed for today,0
456,glad i was able help you feel better i hate to see you sick love you,0
457,is tireddddddd want to sleep but i have an assignment to finish and an exam tomorrow to study for,0
458,you know i was thinking i need money,0
459,omg its jst teusday,0
460,henrie ummmmm i cant find it,0
461,just heard that they found sandra cantu she was only yrs old,0
462,ive forgotten how to snoo snoo i wonder if snoo snoo and i will ever meet again,0
463,wow that last tweet made me seem like a giant sexist sorry about that,0
464,my bathtub drain is fired it haz job do it iz fail i got all drano on its ass iz still not draining i wanna shower dangit,0
465,stuck at home,0
466,mine is how do you get it up,0
467,duckling in famous children s book stolen from boston s public garden the boston globe via oh no,0
468,news thank you however i hate to be on the same list that includes convicts,0
469,heading to altrincham again out of hours install,0
470,morning good im bloody knackered work is not for me today helppp xxx,0
471,i don t have a garage but you can park in my driveway,0
472,what happened,0
473,on popular music by t w adorno is probably the most difficult reading ever prescribed i m actually struggling to continue,0
474,cant see the flowers falling i dont have a camera just my cellphone,0
475,we ve been good i m not liking the snow right now was getting used to the nice spring like weather how about you,0
476,armstrong what a pity youtube is currently blocked in china i can t see the vids,0
477,what happened to your show it was the hightlight of my life,0
478,this is the best leather sofa in the world it s in the office though which means i m still here working,0
479,still more days until my internet gets uncapped,0
480,if he doesn t get better in a few days he could have something lodged in his belly,0
481,i love my atekinzz so much i soo miss her,0
482,i wanna sneak into the zoo and play with the kitties,0
483,oh no hope you re not getting sick too,0
484,i dont think i can cause its my cousins birthday party,0
485,our sweet little man just fell asleep while waiting up for daddy and big brother to get home poor baby he missed them so much today,0
486,the angel is going to miss the athlete this weekend,0
487,trust is hard,0
488,have watched that considering today yaknow shawnna tomomorrow i need my bestfriend,0
489,grr i want to keep reading but if i do i wont have anything left to read,0
490,atekinzz where in the world are you,0
491,no u supposed to be my date,0
492,pears brie bottle of cabernet and win a date with tad hamilton oh gawwd my life flashed forward to when i m with my cats,0
493,crap i need more dresses too,0
494,yeah i know it was horrible ugh saddening,0
495,geez ur no fun are you,0
496,i wanna be in a punk rock band again,0
497,that s a lot of angst for a tuesday afternoon,0
498,i m very glad britney isn t crazy anymore that was one hell of a show now i m sad that it s over next up ap at cook county,0
499,has a huuuge headache omg i feel like crap,0
500,sorry,0
501,sorry i was rooting for them too,0
502,man that took forever,0
503,i see,0
504,i am listing more items on ebay to sell takes forever meanwhile coleman is watching the hills season premier without me,0
505,just got my presentation done slides done i m crying for this week will be the hardest of all weeks,0
506,just lost,0
507,i don t like the previously on skins thing that starts at season two i like it when it went straight into the intro like before,0
508,i wish i was there i m pretty good at scaring the shit out of people,0
509,going to sound vain but running out of my fav lip gloss,0
510,never again will i click on a link that screams i m a spider i m a spider i should have known better yucky,0
511,why is that when you have time off from work you get sick,0
512,same imac came out more in indonesia than the states,0
513,dammit i need to stop buying furniture,0
514,sil no i was half asleep and turned off the laptop after that,0
515,death is peaceful life however bites,0
516,i think lost the net sure hope not,0
517,and test footage with my girlfriend in hd the dark one is underxposed,0
518,such a tough game to watch tonight for state finally going to bed after also staying up to watch the season premiere of the hills,0
519,seems jruby support for hpricot is now two versions behind,0
520,unlike my sister i still don t have one,0
521,fraking app store is pissing me off,0
522,logging out i need to study,0
523,anyone else having problems accessing ttb i cant get on,0
524,i strongly dislike people who make stupid comments and dont know the whole story,0
525,i m sorry emma is swarley a goldfish i m sad for u,0
526,all my tweets are already gone aren t they missed you guys tonight,0
527,can t sleep again face is kinda swollen don t let me be allergic to the thing that ll get me to thursday school tomorrow doubtful,0
528,the dog if izzy s on the cat tree she ll stare him down but if she s on the floor he chases and she runs,0
529,i am officially banning godaddy com from my comp my head hurts from the small print and i wasted that could ve happily gone to boba,0
530,pretty much just scary for me,0
531,mines too i m finding it well hard to get fit,0
532,good morning ready go but i want go back bed,0
533,hates waiting for mails,0
534,wheat bread from the dollar store just doesn t toast nicely going over my taxes and calling it an early night,0
535,why kutner i mean i knew something was going to happen to someone but it was so sad i house and it was well done but i m still sad,0
